Dataset,Language,BLEU,COMET
WMT,bg,27.53,0.82
WMT,cs,15.16,0.81
WMT,da,39.52,0.83
WMT,de,18.0,0.79
WMT,el,31.49,0.84
WMT,es,NA,NA
WMT,et,27.03,0.86
WMT,fi,15.73,0.84
WMT,fr,22.82,0.76
WMT,hu,15.5,0.8
WMT,is,19.81,0.79
WMT,it,41.46,0.8
WMT,lt,10.94,0.84
WMT,lv,13.1,0.79
WMT,nl,25.38,0.81
WMT,pl,13.47,0.8
WMT,pt,11.47,0.69
WMT,ro,22.12,0.8
WMT,sk,11.59,0.79
WMT,sv,24.5,0.82
WMT,tr,30.27,0.84
WMT,hr,19.97,0.81
TED,sq,17.93,0.84
TED,bg,40.2,0.85
TED,hr,6.21,0.8
TED,cs,4.47,0.8
TED,da,39.71,0.88
TED,nl,29.21,0.87
TED,et,15.38,0.88
TED,fi,1.88,0.75
TED,fr,12.41,0.8
TED,de,5.35,0.69
TED,el,19.81,0.79
TED,hu,7.24,0.76
TED,is,NA,NA
TED,it,8.03,0.77
TED,lv,NA,NA
TED,lt,9.05,0.82
TED,mk,12.1,0.73
TED,nb,44.76,0.92
TED,pl,5.72,0.77
TED,pt,7.91,0.64
TED,ro,11.63,0.85
TED,sk,9.96,0.77
TED,sl,9.5,0.81
TED,es,10.98,0.78
TED,sv,14.78,0.85
TED,tr,10.08,0.84
Europarl,bg,45.02,0.93
Europarl,cs,27.06,0.91
Europarl,da,27.49,0.84
Europarl,nl,18.88,0.85
Europarl,et,27.76,0.94
Europarl,fi,24.26,0.94
Europarl,fr,24.55,0.86
Europarl,de,26.31,0.88
Europarl,el,27.57,0.85
Europarl,hu,30.33,0.93
Europarl,it,22.38,0.84
Europarl,lv,10.44,0.84
Europarl,lt,27.03,0.92
Europarl,pl,30.07,0.91
Europarl,pt,14.85,0.82
Europarl,ro,42.46,0.9
Europarl,sk,37.33,0.92
Europarl,sl,38.92,0.94
Europarl,es,NA,NA
Europarl,sv,21.11,0.88
Europarl,tr,NA,NA
